constructor,driver,year,date,quali_pos,status_id,position,dob,driver_nationality,constructor_nationality,GP_name,country,age_at_gp_in_days,driver_home,constructor_home,driver_dnf,constructor_dnf,driver_confidence,constructor_reliability,active_driver,active_constructor
HRT,Karun Chandhok,2010,14-03-2010,24,3,24,19-01-1984,Ind,Spa,Bahrain Grand Prix,Bah,9551,0,0,1,0,0.8181818181818181,0.15652173913043477,0,0
McLaren,Jenson Button,2010,28-03-2010,4,1,4,19-01-1980,Bri,Bri,Australian Grand Prix,Aus,11026,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Renault,Robert Kubica,2010,28-03-2010,9,1,9,07-12-1984,Pol,Fre,Australian Grand Prix,Aus,9242,0,0,0,0,0.975,0.5301507537688442,0,1
Ferrari,Felipe Massa,2010,28-03-2010,5,1,5,25-04-1981,Bra,Ita,Australian Grand Prix,Aus,10564,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Ferrari,Fernando Alonso,2010,28-03-2010,3,1,3,29-07-1981,Spa,Ita,Australian Grand Prix,Aus,10469,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Mercedes,Nico Rosberg,2010,28-03-2010,6,1,6,27-06-1985,Ger,Ger,Australian Grand Prix,Aus,9040,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
McLaren,Lewis Hamilton,2010,28-03-2010,11,1,11,07-01-1985,Bri,Bri,Australian Grand Prix,Aus,9211,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Racing Point,Vitantonio Liuzzi,2010,28-03-2010,13,1,13,06-08-1980,Ita,Ind,Australian Grand Prix,Aus,10826,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,28-03-2010,8,1,8,23-05-1972,Bra,Bri,Australian Grand Prix,Aus,13823,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
Red Bull,Mark Webber,2010,28-03-2010,2,1,2,27-08-1976,Aus,Aus,Australian Grand Prix,Aus,12266,1,1,0,0,0.935064935064935,0.825,0,1
Mercedes,Michael Schumacher,2010,28-03-2010,7,1,7,03-01-1969,Ger,Ger,Australian Grand Prix,Aus,15059,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
AlphaTauri,Jaime Alguersuari,2010,28-03-2010,17,1,17,23-03-1990,Spa,Ita,Australian Grand Prix,Aus,7310,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Alfa Romeo,Pedro de la Rosa,2010,28-03-2010,14,1,14,24-02-1971,Spa,Swi,Australian Grand Prix,Aus,14277,0,0,0,0,0.8571428571428572,0.42713567839195976,0,1
Lotus,Heikki Kovalainen,2010,28-03-2010,19,12,19,19-10-1981,Fin,Mal,Australian Grand Prix,Aus,10387,0,0,0,1,0.95,0.07894736842105265,0,0
HRT,Karun Chandhok,2010,28-03-2010,22,15,24,19-01-1984,Ind,Spa,Australian Grand Prix,Aus,9565,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
Virgin,Timo Glock,2010,28-03-2010,23,22,21,18-03-1982,Ger,Bri,Australian Grand Prix,Aus,10237,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Virgin,Lucas di Grassi,2010,28-03-2010,24,9,22,11-08-1984,Bra,Bri,Australian Grand Prix,Aus,9360,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Red Bull,Sebastian Vettel,2010,28-03-2010,1,36,1,03-07-1987,Ger,Aus,Australian Grand Prix,Aus,8304,0,1,0,1,0.955,0.825,1,1
Racing Point,Adrian Sutil,2010,28-03-2010,10,5,10,11-01-1983,Ger,Ind,Australian Grand Prix,Aus,9938,0,0,0,1,0.868421052631579,0.6084788029925188,0,1
Renault,Vitaly Petrov,2010,28-03-2010,18,20,18,08-09-1984,Rus,Fre,Australian Grand Prix,Aus,9332,0,0,1,0,0.8793103448275862,0.5301507537688442,0,1
HRT,Bruno Senna,2010,28-03-2010,21,9,23,15-10-1983,Bra,Spa,Australian Grand Prix,Aus,9661,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
AlphaTauri,Sébastien Buemi,2010,28-03-2010,12,4,12,31-10-1988,Swi,Ita,Australian Grand Prix,Aus,7818,0,0,1,0,0.868421052631579,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,28-03-2010,15,4,15,19-08-1987,Ger,Bri,Australian Grand Prix,Aus,8257,0,0,1,0,0.898876404494382,0.4962593516209476,0,1
Alfa Romeo,Kamui Kobayashi,2010,28-03-2010,16,4,16,13-09-1986,Jap,Swi,Australian Grand Prix,Aus,8597,0,0,1,0,0.8356164383561644,0.42713567839195976,0,1
Lotus,Jarno Trulli,2010,28-03-2010,20,9,20,13-07-1974,Ita,Mal,Australian Grand Prix,Aus,13042,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Red Bull,Sebastian Vettel,2010,04-04-2010,3,1,3,03-07-1987,Ger,Aus,Malaysian Grand Prix,Mal,8311,0,0,0,0,0.955,0.825,1,1
Red Bull,Mark Webber,2010,04-04-2010,1,1,1,27-08-1976,Aus,Aus,Malaysian Grand Prix,Mal,12273,0,0,0,0,0.935064935064935,0.825,0,1
Mercedes,Nico Rosberg,2010,04-04-2010,2,1,2,27-06-1985,Ger,Ger,Malaysian Grand Prix,Mal,9047,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Renault,Robert Kubica,2010,04-04-2010,6,1,6,07-12-1984,Pol,Fre,Malaysian Grand Prix,Mal,9249,0,0,0,0,0.975,0.5301507537688442,0,1
Racing Point,Adrian Sutil,2010,04-04-2010,4,1,4,11-01-1983,Ger,Ind,Malaysian Grand Prix,Mal,9945,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
McLaren,Lewis Hamilton,2010,04-04-2010,20,1,20,07-01-1985,Bri,Bri,Malaysian Grand Prix,Mal,9218,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Ferrari,Felipe Massa,2010,04-04-2010,21,1,21,25-04-1981,Bra,Ita,Malaysian Grand Prix,Mal,10571,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Jenson Button,2010,04-04-2010,17,1,17,19-01-1980,Bri,Bri,Malaysian Grand Prix,Mal,11033,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
AlphaTauri,Jaime Alguersuari,2010,04-04-2010,14,1,14,23-03-1990,Spa,Ita,Malaysian Grand Prix,Mal,7317,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,04-04-2010,5,1,5,19-08-1987,Ger,Bri,Malaysian Grand Prix,Mal,8264,0,0,0,0,0.898876404494382,0.4962593516209476,0,1
AlphaTauri,Sébastien Buemi,2010,04-04-2010,13,1,13,31-10-1988,Swi,Ita,Malaysian Grand Prix,Mal,7825,0,0,0,0,0.868421052631579,0.4547738693467337,0,1
Williams,Rubens Barrichello,2010,04-04-2010,7,11,7,23-05-1972,Bra,Bri,Malaysian Grand Prix,Mal,13830,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
Ferrari,Fernando Alonso,2010,04-04-2010,19,5,19,29-07-1981,Spa,Ita,Malaysian Grand Prix,Mal,10476,0,0,0,1,0.9248554913294798,0.8980099502487562,0,1
Virgin,Lucas di Grassi,2010,04-04-2010,24,13,24,11-08-1984,Bra,Bri,Malaysian Grand Prix,Mal,9367,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
HRT,Karun Chandhok,2010,04-04-2010,22,13,22,19-01-1984,Ind,Spa,Malaysian Grand Prix,Mal,9572,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
HRT,Bruno Senna,2010,04-04-2010,23,14,23,15-10-1983,Bra,Spa,Malaysian Grand Prix,Mal,9668,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,04-04-2010,18,15,18,13-07-1974,Ita,Mal,Malaysian Grand Prix,Mal,13049,0,1,0,1,0.972972972972973,0.07894736842105265,0,0
Lotus,Heikki Kovalainen,2010,04-04-2010,15,88,15,19-10-1981,Fin,Mal,Malaysian Grand Prix,Mal,10394,0,1,0,1,0.95,0.07894736842105265,0,0
Renault,Vitaly Petrov,2010,04-04-2010,11,6,11,08-09-1984,Rus,Fre,Malaysian Grand Prix,Mal,9339,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Racing Point,Vitantonio Liuzzi,2010,04-04-2010,10,37,10,06-08-1980,Ita,Ind,Malaysian Grand Prix,Mal,10833,0,0,0,1,0.7837837837837838,0.6084788029925188,0,1
Mercedes,Michael Schumacher,2010,04-04-2010,8,36,8,03-01-1969,Ger,Ger,Malaysian Grand Prix,Mal,15066,0,0,0,1,0.8771929824561404,0.8778054862842892,0,1
Alfa Romeo,Kamui Kobayashi,2010,04-04-2010,9,5,9,13-09-1986,Jap,Swi,Malaysian Grand Prix,Mal,8604,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Timo Glock,2010,04-04-2010,16,20,16,18-03-1982,Ger,Bri,Malaysian Grand Prix,Mal,10244,0,0,1,0,0.9122807017543859,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,04-04-2010,12,5,12,24-02-1971,Spa,Swi,Malaysian Grand Prix,Mal,14284,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
McLaren,Jenson Button,2010,18-04-2010,5,1,5,19-01-1980,Bri,Bri,Chinese Grand Prix,Chi,11047,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
McLaren,Lewis Hamilton,2010,18-04-2010,6,1,6,07-01-1985,Bri,Bri,Chinese Grand Prix,Chi,9232,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Mercedes,Nico Rosberg,2010,18-04-2010,4,1,4,27-06-1985,Ger,Ger,Chinese Grand Prix,Chi,9061,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Ferrari,Fernando Alonso,2010,18-04-2010,3,1,3,29-07-1981,Spa,Ita,Chinese Grand Prix,Chi,10490,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Renault,Robert Kubica,2010,18-04-2010,8,1,8,07-12-1984,Pol,Fre,Chinese Grand Prix,Chi,9263,0,0,0,0,0.975,0.5301507537688442,0,1
Red Bull,Sebastian Vettel,2010,18-04-2010,1,1,1,03-07-1987,Ger,Aus,Chinese Grand Prix,Chi,8325,0,0,0,0,0.955,0.825,1,1
Renault,Vitaly Petrov,2010,18-04-2010,14,1,14,08-09-1984,Rus,Fre,Chinese Grand Prix,Chi,9353,0,0,0,0,0.8793103448275862,0.5301507537688442,0,1
Red Bull,Mark Webber,2010,18-04-2010,2,1,2,27-08-1976,Aus,Aus,Chinese Grand Prix,Chi,12287,0,0,0,0,0.935064935064935,0.825,0,1
Ferrari,Felipe Massa,2010,18-04-2010,7,1,7,25-04-1981,Bra,Ita,Chinese Grand Prix,Chi,10585,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Mercedes,Michael Schumacher,2010,18-04-2010,9,1,9,03-01-1969,Ger,Ger,Chinese Grand Prix,Chi,15080,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
Racing Point,Adrian Sutil,2010,18-04-2010,10,1,10,11-01-1983,Ger,Ind,Chinese Grand Prix,Chi,9959,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,18-04-2010,11,1,11,23-05-1972,Bra,Bri,Chinese Grand Prix,Chi,13844,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
AlphaTauri,Jaime Alguersuari,2010,18-04-2010,12,1,12,23-03-1990,Spa,Ita,Chinese Grand Prix,Chi,7331,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Lotus,Heikki Kovalainen,2010,18-04-2010,21,11,21,19-10-1981,Fin,Mal,Chinese Grand Prix,Chi,10408,0,0,0,1,0.95,0.07894736842105265,0,0
Williams,Nico Hülkenberg,2010,18-04-2010,16,11,16,19-08-1987,Ger,Bri,Chinese Grand Prix,Chi,8278,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
HRT,Bruno Senna,2010,18-04-2010,23,12,23,15-10-1983,Bra,Spa,Chinese Grand Prix,Chi,9682,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
HRT,Karun Chandhok,2010,18-04-2010,24,14,24,19-01-1984,Ind,Spa,Chinese Grand Prix,Chi,9586,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,18-04-2010,20,9,20,13-07-1974,Ita,Mal,Chinese Grand Prix,Chi,13063,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Virgin,Lucas di Grassi,2010,18-04-2010,22,8,22,11-08-1984,Bra,Bri,Chinese Grand Prix,Chi,9381,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,18-04-2010,17,39,17,24-02-1971,Spa,Swi,Chinese Grand Prix,Chi,14298,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
AlphaTauri,Sébastien Buemi,2010,18-04-2010,13,3,13,31-10-1988,Swi,Ita,Chinese Grand Prix,Chi,7839,0,0,1,0,0.868421052631579,0.4547738693467337,0,1
Alfa Romeo,Kamui Kobayashi,2010,18-04-2010,15,3,15,13-09-1986,Jap,Swi,Chinese Grand Prix,Chi,8618,0,0,1,0,0.8356164383561644,0.42713567839195976,0,1
Racing Point,Vitantonio Liuzzi,2010,18-04-2010,18,3,18,06-08-1980,Ita,Ind,Chinese Grand Prix,Chi,10847,0,0,1,0,0.7837837837837838,0.6084788029925188,0,1
Virgin,Timo Glock,2010,18-04-2010,19,5,19,18-03-1982,Ger,Bri,Chinese Grand Prix,Chi,10258,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Red Bull,Mark Webber,2010,09-05-2010,1,1,1,27-08-1976,Aus,Aus,Spanish Grand Prix,Spa,12308,0,0,0,0,0.935064935064935,0.825,0,1
Ferrari,Fernando Alonso,2010,09-05-2010,4,1,4,29-07-1981,Spa,Ita,Spanish Grand Prix,Spa,10511,1,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Red Bull,Sebastian Vettel,2010,09-05-2010,2,1,2,03-07-1987,Ger,Aus,Spanish Grand Prix,Spa,8346,0,0,0,0,0.955,0.825,1,1
Mercedes,Michael Schumacher,2010,09-05-2010,6,1,6,03-01-1969,Ger,Ger,Spanish Grand Prix,Spa,15101,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
McLaren,Jenson Button,2010,09-05-2010,5,1,5,19-01-1980,Bri,Bri,Spanish Grand Prix,Spa,11068,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Ferrari,Felipe Massa,2010,09-05-2010,9,1,9,25-04-1981,Bra,Ita,Spanish Grand Prix,Spa,10606,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Racing Point,Adrian Sutil,2010,09-05-2010,11,1,11,11-01-1983,Ger,Ind,Spanish Grand Prix,Spa,9980,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Renault,Robert Kubica,2010,09-05-2010,7,1,7,07-12-1984,Pol,Fre,Spanish Grand Prix,Spa,9284,0,0,0,0,0.975,0.5301507537688442,0,1
Williams,Rubens Barrichello,2010,09-05-2010,17,11,18,23-05-1972,Bra,Bri,Spanish Grand Prix,Spa,13865,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
AlphaTauri,Jaime Alguersuari,2010,09-05-2010,15,11,16,23-03-1990,Spa,Ita,Spanish Grand Prix,Spa,7352,1,0,0,1,0.9210526315789473,0.4547738693467337,0,1
Renault,Vitaly Petrov,2010,09-05-2010,19,11,14,08-09-1984,Rus,Fre,Spanish Grand Prix,Spa,9374,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Alfa Romeo,Kamui Kobayashi,2010,09-05-2010,10,11,10,13-09-1986,Jap,Swi,Spanish Grand Prix,Spa,8639,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Mercedes,Nico Rosberg,2010,09-05-2010,8,11,8,27-06-1985,Ger,Ger,Spanish Grand Prix,Spa,9082,0,0,0,1,0.9485294117647058,0.8778054862842892,0,1
McLaren,Lewis Hamilton,2010,09-05-2010,3,29,3,07-01-1985,Bri,Bri,Spanish Grand Prix,Spa,9253,0,0,1,0,0.945273631840796,0.5914786967418546,1,1
Racing Point,Vitantonio Liuzzi,2010,09-05-2010,16,5,17,06-08-1980,Ita,Ind,Spanish Grand Prix,Spa,10868,0,0,0,1,0.7837837837837838,0.6084788029925188,0,1
Williams,Nico Hülkenberg,2010,09-05-2010,13,12,13,19-08-1987,Ger,Bri,Spanish Grand Prix,Spa,8299,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
Lotus,Jarno Trulli,2010,09-05-2010,18,13,19,13-07-1974,Ita,Mal,Spanish Grand Prix,Spa,13084,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Virgin,Timo Glock,2010,09-05-2010,22,13,21,18-03-1982,Ger,Bri,Spanish Grand Prix,Spa,10279,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Virgin,Lucas di Grassi,2010,09-05-2010,23,14,22,11-08-1984,Bra,Bri,Spanish Grand Prix,Spa,9402,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
AlphaTauri,Sébastien Buemi,2010,09-05-2010,14,9,15,31-10-1988,Swi,Ita,Spanish Grand Prix,Spa,7860,0,0,0,1,0.868421052631579,0.4547738693467337,0,1
HRT,Karun Chandhok,2010,09-05-2010,24,22,23,19-01-1984,Ind,Spa,Spanish Grand Prix,Spa,9607,0,1,0,1,0.8181818181818181,0.15652173913043477,0,0
Alfa Romeo,Pedro de la Rosa,2010,09-05-2010,12,4,12,24-02-1971,Spa,Swi,Spanish Grand Prix,Spa,14319,1,0,1,0,0.8571428571428572,0.42713567839195976,0,1
HRT,Bruno Senna,2010,09-05-2010,21,3,24,15-10-1983,Bra,Spa,Spanish Grand Prix,Spa,9703,0,1,1,0,0.8260869565217391,0.15652173913043477,0,0
Lotus,Heikki Kovalainen,2010,09-05-2010,20,6,20,19-10-1981,Fin,Mal,Spanish Grand Prix,Spa,10429,0,0,0,1,0.95,0.07894736842105265,0,0
Red Bull,Mark Webber,2010,16-05-2010,1,1,1,27-08-1976,Aus,Aus,Monaco Grand Prix,Mon,12315,0,0,0,0,0.935064935064935,0.825,0,1
Red Bull,Sebastian Vettel,2010,16-05-2010,3,1,3,03-07-1987,Ger,Aus,Monaco Grand Prix,Mon,8353,0,0,0,0,0.955,0.825,1,1
Renault,Robert Kubica,2010,16-05-2010,2,1,2,07-12-1984,Pol,Fre,Monaco Grand Prix,Mon,9291,0,0,0,0,0.975,0.5301507537688442,0,1
Ferrari,Felipe Massa,2010,16-05-2010,4,1,4,25-04-1981,Bra,Ita,Monaco Grand Prix,Mon,10613,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Lewis Hamilton,2010,16-05-2010,5,1,5,07-01-1985,Bri,Bri,Monaco Grand Prix,Mon,9260,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Ferrari,Fernando Alonso,2010,16-05-2010,24,1,24,29-07-1981,Spa,Ita,Monaco Grand Prix,Mon,10518,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Mercedes,Nico Rosberg,2010,16-05-2010,6,1,6,27-06-1985,Ger,Ger,Monaco Grand Prix,Mon,9089,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Racing Point,Adrian Sutil,2010,16-05-2010,12,1,12,11-01-1983,Ger,Ind,Monaco Grand Prix,Mon,9987,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Racing Point,Vitantonio Liuzzi,2010,16-05-2010,10,1,10,06-08-1980,Ita,Ind,Monaco Grand Prix,Mon,10875,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
AlphaTauri,Sébastien Buemi,2010,16-05-2010,13,1,13,31-10-1988,Swi,Ita,Monaco Grand Prix,Mon,7867,0,0,0,0,0.868421052631579,0.4547738693467337,0,1
AlphaTauri,Jaime Alguersuari,2010,16-05-2010,17,1,17,23-03-1990,Spa,Ita,Monaco Grand Prix,Mon,7359,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Mercedes,Michael Schumacher,2010,16-05-2010,7,1,7,03-01-1969,Ger,Ger,Monaco Grand Prix,Mon,15108,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
Renault,Vitaly Petrov,2010,16-05-2010,14,23,14,08-09-1984,Rus,Fre,Monaco Grand Prix,Mon,9381,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
HRT,Karun Chandhok,2010,16-05-2010,23,4,23,19-01-1984,Ind,Spa,Monaco Grand Prix,Mon,9614,0,0,1,0,0.8181818181818181,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,16-05-2010,19,4,19,13-07-1974,Ita,Mal,Monaco Grand Prix,Mon,13091,0,0,1,0,0.972972972972973,0.07894736842105265,0,0
Lotus,Heikki Kovalainen,2010,16-05-2010,18,38,18,19-10-1981,Fin,Mal,Monaco Grand Prix,Mon,10436,0,0,0,1,0.95,0.07894736842105265,0,0
HRT,Bruno Senna,2010,16-05-2010,22,9,22,15-10-1983,Bra,Spa,Monaco Grand Prix,Mon,9710,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Williams,Rubens Barrichello,2010,16-05-2010,9,22,9,23-05-1972,Bra,Bri,Monaco Grand Prix,Mon,13872,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
Alfa Romeo,Kamui Kobayashi,2010,16-05-2010,16,6,16,13-09-1986,Jap,Swi,Monaco Grand Prix,Mon,8646,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Lucas di Grassi,2010,16-05-2010,21,36,21,11-08-1984,Bra,Bri,Monaco Grand Prix,Mon,9409,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Virgin,Timo Glock,2010,16-05-2010,20,49,20,18-03-1982,Ger,Bri,Monaco Grand Prix,Mon,10286,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,16-05-2010,15,9,15,24-02-1971,Spa,Swi,Monaco Grand Prix,Mon,14326,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
McLaren,Jenson Button,2010,16-05-2010,8,5,8,19-01-1980,Bri,Bri,Monaco Grand Prix,Mon,11075,0,0,0,1,0.9407407407407408,0.5914786967418546,0,1
Williams,Nico Hülkenberg,2010,16-05-2010,11,33,11,19-08-1987,Ger,Bri,Monaco Grand Prix,Mon,8306,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
McLaren,Lewis Hamilton,2010,30-05-2010,2,1,2,07-01-1985,Bri,Bri,Turkish Grand Prix,Tur,9274,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
McLaren,Jenson Button,2010,30-05-2010,4,1,4,19-01-1980,Bri,Bri,Turkish Grand Prix,Tur,11089,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Red Bull,Mark Webber,2010,30-05-2010,1,1,1,27-08-1976,Aus,Aus,Turkish Grand Prix,Tur,12329,0,0,0,0,0.935064935064935,0.825,0,1
Mercedes,Michael Schumacher,2010,30-05-2010,5,1,5,03-01-1969,Ger,Ger,Turkish Grand Prix,Tur,15122,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
