constructor,driver,year,date,quali_pos,status_id,position,dob,driver_nationality,constructor_nationality,GP_name,country,age_at_gp_in_days,driver_home,constructor_home,driver_dnf,constructor_dnf,driver_confidence,constructor_reliability,active_driver,active_constructor
Virgin,Timo Glock,2010,2010-03-28,23,22,21,1982-03-18,Ger,Bri,Australian Grand Prix,Aus,10237,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Virgin,Lucas di Grassi,2010,2010-03-28,24,9,22,1984-08-11,Bra,Bri,Australian Grand Prix,Aus,9360,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Red Bull,Sebastian Vettel,2010,2010-03-28,1,36,1,1987-07-03,Ger,Aus,Australian Grand Prix,Aus,8304,0,1,0,1,0.955,0.825,1,1
Racing Point,Adrian Sutil,2010,2010-03-28,10,5,10,1983-01-11,Ger,Ind,Australian Grand Prix,Aus,9938,0,0,0,1,0.868421052631579,0.6084788029925188,0,1
Renault,Vitaly Petrov,2010,2010-03-28,18,20,18,1984-09-08,Rus,Fre,Australian Grand Prix,Aus,9332,0,0,1,0,0.8793103448275862,0.5301507537688442,0,1
HRT,Bruno Senna,2010,2010-03-28,21,9,23,1983-10-15,Bra,Spa,Australian Grand Prix,Aus,9661,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
AlphaTauri,Sébastien Buemi,2010,2010-03-28,12,4,12,1988-10-31,Swi,Ita,Australian Grand Prix,Aus,7818,0,0,1,0,0.868421052631579,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,2010-03-28,15,4,15,1987-08-19,Ger,Bri,Australian Grand Prix,Aus,8257,0,0,1,0,0.898876404494382,0.4962593516209476,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-03-28,16,4,16,1986-09-13,Jap,Swi,Australian Grand Prix,Aus,8597,0,0,1,0,0.8356164383561644,0.42713567839195976,0,1
Lotus,Jarno Trulli,2010,2010-03-28,20,9,20,1974-07-13,Ita,Mal,Australian Grand Prix,Aus,13042,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Red Bull,Sebastian Vettel,2010,2010-04-04,3,1,3,1987-07-03,Ger,Aus,Malaysian Grand Prix,Mal,8311,0,0,0,0,0.955,0.825,1,1
Red Bull,Mark Webber,2010,2010-04-04,1,1,1,1976-08-27,Aus,Aus,Malaysian Grand Prix,Mal,12273,0,0,0,0,0.935064935064935,0.825,0,1
Mercedes,Nico Rosberg,2010,2010-04-04,2,1,2,1985-06-27,Ger,Ger,Malaysian Grand Prix,Mal,9047,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Renault,Robert Kubica,2010,2010-04-04,6,1,6,1984-12-07,Pol,Fre,Malaysian Grand Prix,Mal,9249,0,0,0,0,0.975,0.5301507537688442,0,1
Racing Point,Adrian Sutil,2010,2010-04-04,4,1,4,1983-01-11,Ger,Ind,Malaysian Grand Prix,Mal,9945,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
McLaren,Lewis Hamilton,2010,2010-04-04,20,1,20,1985-01-07,Bri,Bri,Malaysian Grand Prix,Mal,9218,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Ferrari,Felipe Massa,2010,2010-04-04,21,1,21,1981-04-25,Bra,Ita,Malaysian Grand Prix,Mal,10571,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Jenson Button,2010,2010-04-04,17,1,17,1980-01-19,Bri,Bri,Malaysian Grand Prix,Mal,11033,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-04-04,14,1,14,1990-03-23,Spa,Ita,Malaysian Grand Prix,Mal,7317,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,2010-04-04,5,1,5,1987-08-19,Ger,Bri,Malaysian Grand Prix,Mal,8264,0,0,0,0,0.898876404494382,0.4962593516209476,0,1
AlphaTauri,Sébastien Buemi,2010,2010-04-04,13,1,13,1988-10-31,Swi,Ita,Malaysian Grand Prix,Mal,7825,0,0,0,0,0.868421052631579,0.4547738693467337,0,1
Williams,Rubens Barrichello,2010,2010-04-04,7,11,7,1972-05-23,Bra,Bri,Malaysian Grand Prix,Mal,13830,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
Ferrari,Fernando Alonso,2010,2010-04-04,19,5,19,1981-07-29,Spa,Ita,Malaysian Grand Prix,Mal,10476,0,0,0,1,0.9248554913294798,0.8980099502487562,0,1
Virgin,Lucas di Grassi,2010,2010-04-04,24,13,24,1984-08-11,Bra,Bri,Malaysian Grand Prix,Mal,9367,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
HRT,Karun Chandhok,2010,2010-04-04,22,13,22,1984-01-19,Ind,Spa,Malaysian Grand Prix,Mal,9572,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
HRT,Bruno Senna,2010,2010-04-04,23,14,23,1983-10-15,Bra,Spa,Malaysian Grand Prix,Mal,9668,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,2010-04-04,18,15,18,1974-07-13,Ita,Mal,Malaysian Grand Prix,Mal,13049,0,1,0,1,0.972972972972973,0.07894736842105265,0,0
Lotus,Heikki Kovalainen,2010,2010-04-04,15,88,15,1981-10-19,Fin,Mal,Malaysian Grand Prix,Mal,10394,0,1,0,1,0.95,0.07894736842105265,0,0
Renault,Vitaly Petrov,2010,2010-04-04,11,6,11,1984-09-08,Rus,Fre,Malaysian Grand Prix,Mal,9339,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Racing Point,Vitantonio Liuzzi,2010,2010-04-04,10,37,10,1980-08-06,Ita,Ind,Malaysian Grand Prix,Mal,10833,0,0,0,1,0.7837837837837838,0.6084788029925188,0,1
Mercedes,Michael Schumacher,2010,2010-04-04,8,36,8,1969-01-03,Ger,Ger,Malaysian Grand Prix,Mal,15066,0,0,0,1,0.8771929824561404,0.8778054862842892,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-04-04,9,5,9,1986-09-13,Jap,Swi,Malaysian Grand Prix,Mal,8604,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Timo Glock,2010,2010-04-04,16,20,16,1982-03-18,Ger,Bri,Malaysian Grand Prix,Mal,10244,0,0,1,0,0.9122807017543859,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,2010-04-04,12,5,12,1971-02-24,Spa,Swi,Malaysian Grand Prix,Mal,14284,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
McLaren,Jenson Button,2010,2010-04-18,5,1,5,1980-01-19,Bri,Bri,Chinese Grand Prix,Chi,11047,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
McLaren,Lewis Hamilton,2010,2010-04-18,6,1,6,1985-01-07,Bri,Bri,Chinese Grand Prix,Chi,9232,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Mercedes,Nico Rosberg,2010,2010-04-18,4,1,4,1985-06-27,Ger,Ger,Chinese Grand Prix,Chi,9061,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Ferrari,Fernando Alonso,2010,2010-04-18,3,1,3,1981-07-29,Spa,Ita,Chinese Grand Prix,Chi,10490,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Renault,Robert Kubica,2010,2010-04-18,8,1,8,1984-12-07,Pol,Fre,Chinese Grand Prix,Chi,9263,0,0,0,0,0.975,0.5301507537688442,0,1
Red Bull,Sebastian Vettel,2010,2010-04-18,1,1,1,1987-07-03,Ger,Aus,Chinese Grand Prix,Chi,8325,0,0,0,0,0.955,0.825,1,1
Renault,Vitaly Petrov,2010,2010-04-18,14,1,14,1984-09-08,Rus,Fre,Chinese Grand Prix,Chi,9353,0,0,0,0,0.8793103448275862,0.5301507537688442,0,1
Red Bull,Mark Webber,2010,2010-04-18,2,1,2,1976-08-27,Aus,Aus,Chinese Grand Prix,Chi,12287,0,0,0,0,0.935064935064935,0.825,0,1
Ferrari,Felipe Massa,2010,2010-04-18,7,1,7,1981-04-25,Bra,Ita,Chinese Grand Prix,Chi,10585,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Mercedes,Michael Schumacher,2010,2010-04-18,9,1,9,1969-01-03,Ger,Ger,Chinese Grand Prix,Chi,15080,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
Racing Point,Adrian Sutil,2010,2010-04-18,10,1,10,1983-01-11,Ger,Ind,Chinese Grand Prix,Chi,9959,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,2010-04-18,11,1,11,1972-05-23,Bra,Bri,Chinese Grand Prix,Chi,13844,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-04-18,12,1,12,1990-03-23,Spa,Ita,Chinese Grand Prix,Chi,7331,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Lotus,Heikki Kovalainen,2010,2010-04-18,21,11,21,1981-10-19,Fin,Mal,Chinese Grand Prix,Chi,10408,0,0,0,1,0.95,0.07894736842105265,0,0
Williams,Nico Hülkenberg,2010,2010-04-18,16,11,16,1987-08-19,Ger,Bri,Chinese Grand Prix,Chi,8278,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
HRT,Bruno Senna,2010,2010-04-18,23,12,23,1983-10-15,Bra,Spa,Chinese Grand Prix,Chi,9682,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
HRT,Karun Chandhok,2010,2010-04-18,24,14,24,1984-01-19,Ind,Spa,Chinese Grand Prix,Chi,9586,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,2010-04-18,20,9,20,1974-07-13,Ita,Mal,Chinese Grand Prix,Chi,13063,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Virgin,Lucas di Grassi,2010,2010-04-18,22,8,22,1984-08-11,Bra,Bri,Chinese Grand Prix,Chi,9381,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,2010-04-18,17,39,17,1971-02-24,Spa,Swi,Chinese Grand Prix,Chi,14298,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
AlphaTauri,Sébastien Buemi,2010,2010-04-18,13,3,13,1988-10-31,Swi,Ita,Chinese Grand Prix,Chi,7839,0,0,1,0,0.868421052631579,0.4547738693467337,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-04-18,15,3,15,1986-09-13,Jap,Swi,Chinese Grand Prix,Chi,8618,0,0,1,0,0.8356164383561644,0.42713567839195976,0,1
Racing Point,Vitantonio Liuzzi,2010,2010-04-18,18,3,18,1980-08-06,Ita,Ind,Chinese Grand Prix,Chi,10847,0,0,1,0,0.7837837837837838,0.6084788029925188,0,1
Virgin,Timo Glock,2010,2010-04-18,19,5,19,1982-03-18,Ger,Bri,Chinese Grand Prix,Chi,10258,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Red Bull,Mark Webber,2010,2010-05-09,1,1,1,1976-08-27,Aus,Aus,Spanish Grand Prix,Spa,12308,0,0,0,0,0.935064935064935,0.825,0,1
Ferrari,Fernando Alonso,2010,2010-05-09,4,1,4,1981-07-29,Spa,Ita,Spanish Grand Prix,Spa,10511,1,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Red Bull,Sebastian Vettel,2010,2010-05-09,2,1,2,1987-07-03,Ger,Aus,Spanish Grand Prix,Spa,8346,0,0,0,0,0.955,0.825,1,1
Mercedes,Michael Schumacher,2010,2010-05-09,6,1,6,1969-01-03,Ger,Ger,Spanish Grand Prix,Spa,15101,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
McLaren,Jenson Button,2010,2010-05-09,5,1,5,1980-01-19,Bri,Bri,Spanish Grand Prix,Spa,11068,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Ferrari,Felipe Massa,2010,2010-05-09,9,1,9,1981-04-25,Bra,Ita,Spanish Grand Prix,Spa,10606,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Racing Point,Adrian Sutil,2010,2010-05-09,11,1,11,1983-01-11,Ger,Ind,Spanish Grand Prix,Spa,9980,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Renault,Robert Kubica,2010,2010-05-09,7,1,7,1984-12-07,Pol,Fre,Spanish Grand Prix,Spa,9284,0,0,0,0,0.975,0.5301507537688442,0,1
Williams,Rubens Barrichello,2010,2010-05-09,17,11,18,1972-05-23,Bra,Bri,Spanish Grand Prix,Spa,13865,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-05-09,15,11,16,1990-03-23,Spa,Ita,Spanish Grand Prix,Spa,7352,1,0,0,1,0.9210526315789473,0.4547738693467337,0,1
Renault,Vitaly Petrov,2010,2010-05-09,19,11,14,1984-09-08,Rus,Fre,Spanish Grand Prix,Spa,9374,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-05-09,10,11,10,1986-09-13,Jap,Swi,Spanish Grand Prix,Spa,8639,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Mercedes,Nico Rosberg,2010,2010-05-09,8,11,8,1985-06-27,Ger,Ger,Spanish Grand Prix,Spa,9082,0,0,0,1,0.9485294117647058,0.8778054862842892,0,1
McLaren,Lewis Hamilton,2010,2010-05-09,3,29,3,1985-01-07,Bri,Bri,Spanish Grand Prix,Spa,9253,0,0,1,0,0.945273631840796,0.5914786967418546,1,1
Racing Point,Vitantonio Liuzzi,2010,2010-05-09,16,5,17,1980-08-06,Ita,Ind,Spanish Grand Prix,Spa,10868,0,0,0,1,0.7837837837837838,0.6084788029925188,0,1
Williams,Nico Hülkenberg,2010,2010-05-09,13,12,13,1987-08-19,Ger,Bri,Spanish Grand Prix,Spa,8299,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
Lotus,Jarno Trulli,2010,2010-05-09,18,13,19,1974-07-13,Ita,Mal,Spanish Grand Prix,Spa,13084,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Virgin,Timo Glock,2010,2010-05-09,22,13,21,1982-03-18,Ger,Bri,Spanish Grand Prix,Spa,10279,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Virgin,Lucas di Grassi,2010,2010-05-09,23,14,22,1984-08-11,Bra,Bri,Spanish Grand Prix,Spa,9402,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
AlphaTauri,Sébastien Buemi,2010,2010-05-09,14,9,15,1988-10-31,Swi,Ita,Spanish Grand Prix,Spa,7860,0,0,0,1,0.868421052631579,0.4547738693467337,0,1
HRT,Karun Chandhok,2010,2010-05-09,24,22,23,1984-01-19,Ind,Spa,Spanish Grand Prix,Spa,9607,0,1,0,1,0.8181818181818181,0.15652173913043477,0,0
Alfa Romeo,Pedro de la Rosa,2010,2010-05-09,12,4,12,1971-02-24,Spa,Swi,Spanish Grand Prix,Spa,14319,1,0,1,0,0.8571428571428572,0.42713567839195976,0,1
HRT,Bruno Senna,2010,2010-05-09,21,3,24,1983-10-15,Bra,Spa,Spanish Grand Prix,Spa,9703,0,1,1,0,0.8260869565217391,0.15652173913043477,0,0
Lotus,Heikki Kovalainen,2010,2010-05-09,20,6,20,1981-10-19,Fin,Mal,Spanish Grand Prix,Spa,10429,0,0,0,1,0.95,0.07894736842105265,0,0
Red Bull,Mark Webber,2010,2010-05-16,1,1,1,1976-08-27,Aus,Aus,Monaco Grand Prix,Mon,12315,0,0,0,0,0.935064935064935,0.825,0,1
Red Bull,Sebastian Vettel,2010,2010-05-16,3,1,3,1987-07-03,Ger,Aus,Monaco Grand Prix,Mon,8353,0,0,0,0,0.955,0.825,1,1
Renault,Robert Kubica,2010,2010-05-16,2,1,2,1984-12-07,Pol,Fre,Monaco Grand Prix,Mon,9291,0,0,0,0,0.975,0.5301507537688442,0,1
Ferrari,Felipe Massa,2010,2010-05-16,4,1,4,1981-04-25,Bra,Ita,Monaco Grand Prix,Mon,10613,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Lewis Hamilton,2010,2010-05-16,5,1,5,1985-01-07,Bri,Bri,Monaco Grand Prix,Mon,9260,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Ferrari,Fernando Alonso,2010,2010-05-16,24,1,24,1981-07-29,Spa,Ita,Monaco Grand Prix,Mon,10518,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Mercedes,Nico Rosberg,2010,2010-05-16,6,1,6,1985-06-27,Ger,Ger,Monaco Grand Prix,Mon,9089,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Racing Point,Adrian Sutil,2010,2010-05-16,12,1,12,1983-01-11,Ger,Ind,Monaco Grand Prix,Mon,9987,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
Racing Point,Vitantonio Liuzzi,2010,2010-05-16,10,1,10,1980-08-06,Ita,Ind,Monaco Grand Prix,Mon,10875,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
AlphaTauri,Sébastien Buemi,2010,2010-05-16,13,1,13,1988-10-31,Swi,Ita,Monaco Grand Prix,Mon,7867,0,0,0,0,0.868421052631579,0.4547738693467337,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-05-16,17,1,17,1990-03-23,Spa,Ita,Monaco Grand Prix,Mon,7359,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Mercedes,Michael Schumacher,2010,2010-05-16,7,1,7,1969-01-03,Ger,Ger,Monaco Grand Prix,Mon,15108,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
Renault,Vitaly Petrov,2010,2010-05-16,14,23,14,1984-09-08,Rus,Fre,Monaco Grand Prix,Mon,9381,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
HRT,Karun Chandhok,2010,2010-05-16,23,4,23,1984-01-19,Ind,Spa,Monaco Grand Prix,Mon,9614,0,0,1,0,0.8181818181818181,0.15652173913043477,0,0
Lotus,Jarno Trulli,2010,2010-05-16,19,4,19,1974-07-13,Ita,Mal,Monaco Grand Prix,Mon,13091,0,0,1,0,0.972972972972973,0.07894736842105265,0,0
Lotus,Heikki Kovalainen,2010,2010-05-16,18,38,18,1981-10-19,Fin,Mal,Monaco Grand Prix,Mon,10436,0,0,0,1,0.95,0.07894736842105265,0,0
HRT,Bruno Senna,2010,2010-05-16,22,9,22,1983-10-15,Bra,Spa,Monaco Grand Prix,Mon,9710,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Williams,Rubens Barrichello,2010,2010-05-16,9,22,9,1972-05-23,Bra,Bri,Monaco Grand Prix,Mon,13872,0,0,0,1,0.972972972972973,0.4962593516209476,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-05-16,16,6,16,1986-09-13,Jap,Swi,Monaco Grand Prix,Mon,8646,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Lucas di Grassi,2010,2010-05-16,21,36,21,1984-08-11,Bra,Bri,Monaco Grand Prix,Mon,9409,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
Virgin,Timo Glock,2010,2010-05-16,20,49,20,1982-03-18,Ger,Bri,Monaco Grand Prix,Mon,10286,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Alfa Romeo,Pedro de la Rosa,2010,2010-05-16,15,9,15,1971-02-24,Spa,Swi,Monaco Grand Prix,Mon,14326,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
McLaren,Jenson Button,2010,2010-05-16,8,5,8,1980-01-19,Bri,Bri,Monaco Grand Prix,Mon,11075,0,0,0,1,0.9407407407407408,0.5914786967418546,0,1
Williams,Nico Hülkenberg,2010,2010-05-16,11,33,11,1987-08-19,Ger,Bri,Monaco Grand Prix,Mon,8306,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
McLaren,Lewis Hamilton,2010,2010-05-30,2,1,2,1985-01-07,Bri,Bri,Turkish Grand Prix,Tur,9274,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
McLaren,Jenson Button,2010,2010-05-30,4,1,4,1980-01-19,Bri,Bri,Turkish Grand Prix,Tur,11089,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Red Bull,Mark Webber,2010,2010-05-30,1,1,1,1976-08-27,Aus,Aus,Turkish Grand Prix,Tur,12329,0,0,0,0,0.935064935064935,0.825,0,1
Mercedes,Michael Schumacher,2010,2010-05-30,5,1,5,1969-01-03,Ger,Ger,Turkish Grand Prix,Tur,15122,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
